Datetime,ms,Pressure(kPa),Temp(C)
2023-02-23 05:39:57,0,98.1186,5.192
2023-02-23 05:44:57,0,98.1157,5.153
2023-02-23 05:49:57,0,98.1156,5.103
2023-02-23 05:54:57,0,98.1188,5.063
2023-02-23 05:59:57,0,98.1368,5.067
2023-02-23 06:04:57,0,98.1506,5.263
2023-02-23 06:09:57,0,98.1552,5.721
2023-02-23 06:14:57,0,98.1582,6.13
2023-02-23 06:19:57,0,98.1534,6.46
2023-02-23 06:24:57,0,98.1432,6.695
2023-02-23 06:29:57,0,98.1247,6.834
2023-02-23 06:34:57,0,98.1236,6.925
2023-02-23 06:39:57,0,98.1279,7.034
2023-02-23 06:44:57,0,98.1243,7.091
2023-02-23 06:49:57,0,98.1245,7.219
2023-02-23 06:54:57,0,98.1119,7.362
2023-02-23 06:59:57,0,98.1089,7.522
2023-02-23 07:04:57,0,98.1144,7.702
2023-02-23 07:09:57,0,98.1105,7.92
2023-02-23 07:14:57,0,98.1244,8.115
2023-02-23 07:19:57,0,98.1294,8.248
2023-02-23 07:24:57,0,98.1312,8.375
2023-02-23 07:29:57,0,98.1431,8.468
2023-02-23 07:34:57,0,98.1481,8.52
2023-02-23 07:39:57,0,98.1583,8.569
2023-02-23 07:44:57,0,98.1765,8.62
2023-02-23 07:49:57,0,98.1932,8.681
2023-02-23 07:54:57,0,98.2673,8.71
2023-02-23 07:59:57,0,98.2907,8.751
2023-02-23 08:04:57,0,98.3015,8.84
2023-02-23 08:09:57,0,98.3175,8.915
2023-02-23 08:14:57,0,98.3262,8.964
2023-02-23 08:19:57,0,98.3314,9.019
2023-02-23 08:24:57,0,98.337,9.12
2023-02-23 08:29:57,0,98.3348,9.271
2023-02-23 08:34:57,0,98.3353,9.441
2023-02-23 08:39:57,0,98.3431,9.609
2023-02-23 08:44:57,0,98.3525,9.767
2023-02-23 08:49:57,0,98.3571,9.927
2023-02-23 08:54:57,0,98.354,10.109
2023-02-23 08:59:57,0,98.3646,10.265
2023-02-23 09:04:57,0,98.3991,10.478
2023-02-23 09:09:57,0,98.4022,10.818
2023-02-23 09:14:57,0,98.3996,11.137
2023-02-23 09:19:57,0,98.4182,11.423
2023-02-23 09:24:57,0,98.4203,11.678
2023-02-23 09:29:57,0,98.4292,11.878
2023-02-23 09:34:57,0,98.4402,12.004
2023-02-23 09:39:57,0,98.4413,12.069
2023-02-23 09:44:57,0,98.449,12.085
2023-02-23 09:49:57,0,98.443,12.214
2023-02-23 09:54:57,0,98.4496,12.306
2023-02-23 09:59:57,0,98.4411,12.4
2023-02-23 10:04:57,0,98.447,12.624
2023-02-23 10:09:57,0,98.4479,12.899
2023-02-23 10:14:57,0,98.4568,13.386
2023-02-23 10:19:57,0,98.461,13.898
2023-02-23 10:24:57,0,98.4857,14.191
2023-02-23 10:29:57,0,98.4708,14.001
2023-02-23 10:34:57,0,98.4925,13.881
2023-02-23 10:39:57,0,98.5024,14.042
2023-02-23 10:44:57,0,98.5128,13.787
2023-02-23 10:49:57,0,98.5247,13.479
2023-02-23 10:54:57,0,98.53,13.421
2023-02-23 10:59:57,0,98.5344,13.424
2023-02-23 11:04:57,0,98.5355,13.452
2023-02-23 11:09:57,0,98.5369,13.43
2023-02-23 11:14:57,0,98.5379,13.381
2023-02-23 11:19:57,0,98.5412,13.318
2023-02-23 11:24:57,0,98.5566,13.194
2023-02-23 11:29:57,0,98.5751,13.183
2023-02-23 11:34:57,0,98.5869,13.479
2023-02-23 11:39:57,0,98.6139,13.631
2023-02-23 11:44:57,0,98.616,13.351
2023-02-23 11:49:57,0,98.6185,13.152
2023-02-23 11:54:57,0,98.6451,13.218
2023-02-23 11:59:57,0,98.6695,13.589
2023-02-23 12:04:57,0,98.6917,13.852
2023-02-23 12:09:57,0,98.699,13.884
2023-02-23 12:14:57,0,98.7057,13.795
2023-02-23 12:19:57,0,98.7229,13.651
2023-02-23 12:24:57,0,98.732,13.261
2023-02-23 12:29:57,0,98.7367,12.785
2023-02-23 12:34:57,0,98.746,12.418
2023-02-23 12:39:57,0,98.7479,12.169
2023-02-23 12:44:57,0,98.7611,11.953
2023-02-23 12:49:57,0,98.7751,11.843
2023-02-23 12:54:57,0,98.7729,11.686
2023-02-23 12:59:57,0,98.7723,11.57
2023-02-23 13:04:57,0,98.7898,11.467
2023-02-23 13:09:57,0,98.7939,11.444
2023-02-23 13:14:57,0,98.8087,11.244
2023-02-23 13:19:57,0,98.8256,10.96
2023-02-23 13:24:57,0,98.8254,10.692
2023-02-23 13:29:57,0,98.8549,10.49
2023-02-23 13:34:57,0,98.8661,10.372
2023-02-23 13:39:57,0,98.8847,10.163
2023-02-23 13:44:57,0,98.8905,9.845
2023-02-23 13:49:57,0,98.8997,9.586
